,Estado,Fecha,pediatricos hospitalizados con covid,adultos hospitalizados con covid,hospitalizados con sospecha o confirmacion de covid,pediatricos hospitalizados en UCI con covid,adultos hospitalizados en UCI con covid,camas pediatricas UCI,camas adultos UCI,hospitales con falta de personal,muertes por covid
0,MO,2022-08-01,48.0,834.0,971.0,10.0,128.0,239.0,1686.0,6,3.0
1,MI,2022-08-01,28.0,896.0,1045.0,5.0,104.0,163.0,2326.0,29,5.0
2,GA,2022-08-01,49.0,1402.0,1730.0,10.0,178.0,395.0,2606.0,28,3.0
3,VA,2022-08-01,20.0,811.0,914.0,6.0,116.0,178.0,1907.0,9,7.0
4,NH,2022-08-01,0.0,80.0,83.0,0.0,7.0,9.0,229.0,2,0.0
5,WA,2022-08-01,22.0,728.0,833.0,5.0,82.0,118.0,1148.0,1,7.0
6,AS,2022-08-01,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0,
7,AR,2022-08-01,12.0,380.0,456.0,1.0,56.0,83.0,867.0,0,0.0
8,VI,2022-08-01,0.0,6.0,6.0,0.0,0.0,6.0,20.0,0,
9,FL,2022-08-01,105.0,4169.0,4533.0,29.0,475.0,905.0,6496.0,6,26.0
10,NY,2022-08-01,95.0,2666.0,3108.0,17.0,245.0,518.0,4535.0,2,9.0
11,SC,2022-08-01,14.0,593.0,626.0,6.0,83.0,97.0,1282.0,20,1.0
12,NJ,2022-08-01,2.0,1040.0,1111.0,4.0,83.0,133.0,2895.0,4,2.0
13,WY,2022-08-01,2.0,36.0,39.0,0.0,3.0,0.0,125.0,0,0.0
14,KY,2022-08-01,17.0,649.0,763.0,4.0,111.0,67.0,1279.0,9,5.0
15,SD,2022-08-01,4.0,69.0,83.0,0.0,12.0,23.0,237.0,1,0.0
16,TN,2022-08-01,22.0,861.0,927.0,4.0,126.0,180.0,2415.0,3,10.0
17,MN,2022-08-01,21.0,479.0,537.0,4.0,32.0,187.0,799.0,4,0.0
18,DC,2022-08-01,15.0,139.0,189.0,11.0,9.0,77.0,314.0,0,1.0
19,ME,2022-08-01,1.0,146.0,148.0,0.0,16.0,8.0,325.0,1,0.0
20,UT,2022-08-01,0.0,192.0,223.0,0.0,24.0,36.0,437.0,0,1.0
21,NE,2022-08-01,6.0,215.0,231.0,0.0,28.0,142.0,492.0,14,1.0
22,ND,2022-08-01,0.0,74.0,86.0,0.0,10.0,20.0,204.0,0,0.0
23,DE,2022-08-01,5.0,142.0,235.0,0.0,14.0,76.0,181.0,2,0.0
24,MD,2022-08-01,15.0,611.0,813.0,6.0,53.0,19.0,1238.0,3,3.0
25,PR,2022-08-01,19.0,260.0,350.0,0.0,33.0,92.0,647.0,0,0.0
26,LA,2022-08-01,19.0,635.0,527.0,5.0,102.0,114.0,1425.0,1,1.0
27,IL,2022-08-01,23.0,1204.0,1375.0,4.0,132.0,589.0,3123.0,4,6.0
28,VT,2022-08-01,3.0,28.0,29.0,0.0,4.0,4.0,100.0,3,0.0
29,WI,2022-08-01,5.0,546.0,580.0,1.0,84.0,123.0,1250.0,20,0.0
30,CA,2022-08-01,129.0,4587.0,5001.0,36.0,509.0,955.0,6596.0,6,19.0
31,AZ,2022-08-01,21.0,589.0,711.0,11.0,66.0,241.0,1630.0,0,2.0
32,OK,2022-08-01,37.0,391.0,456.0,2.0,76.0,136.0,973.0,4,1.0
33,OR,2022-08-01,12.0,456.0,533.0,2.0,64.0,21.0,694.0,2,7.0
34,MT,2022-08-01,1.0,94.0,95.0,0.0,9.0,28.0,221.0,4,2.0
35,MA,2022-08-01,9.0,536.0,604.0,6.0,46.0,166.0,1187.0,0,0.0
36,OH,2022-08-01,56.0,1244.0,1532.0,12.0,145.0,487.0,3668.0,3,2.0
37,NM,2022-08-01,7.0,197.0,223.0,0.0,19.0,49.0,388.0,2,0.0
38,IN,2022-08-01,14.0,686.0,790.0,13.0,101.0,197.0,2015.0,10,6.0
39,HI,2022-08-01,5.0,136.0,148.0,1.0,7.0,27.0,206.0,3,0.0
40,RI,2022-08-01,0.0,55.0,70.0,0.0,3.0,91.0,141.0,1,0.0
41,WV,2022-08-01,11.0,385.0,401.0,8.0,49.0,117.0,635.0,0,0.0
42,NC,2022-08-01,25.0,1383.0,1737.0,13.0,167.0,424.0,2186.0,20,15.0
43,TX,2022-08-01,194.0,3434.0,4016.0,44.0,525.0,1065.0,5922.0,6,34.0
44,CO,2022-08-01,17.0,255.0,310.0,5.0,49.0,122.0,1238.0,14,1.0
45,IA,2022-08-01,9.0,261.0,276.0,3.0,37.0,77.0,559.0,0,1.0
46,MS,2022-08-01,8.0,398.0,430.0,1.0,66.0,62.0,732.0,2,3.0
47,PA,2022-08-01,48.0,1250.0,1587.0,6.0,140.0,401.0,3460.0,36,11.0
48,CT,2022-08-01,9.0,332.0,384.0,0.0,33.0,75.0,903.0,0,0.0
49,AK,2022-08-01,4.0,81.0,86.0,1.0,8.0,9.0,138.0,1,0.0
50,NV,2022-08-01,9.0,371.0,392.0,5.0,60.0,118.0,775.0,0,0.0
51,ID,2022-08-01,5.0,164.0,179.0,0.0,25.0,16.0,264.0,1,1.0
52,AL,2022-08-01,20.0,741.0,814.0,4.0,108.0,49.0,1526.0,0,4.0
53,KS,2022-08-01,3.0,258.0,279.0,1.0,33.0,51.0,799.0,10,0.0
54,AK,2022-07-31,3.0,83.0,87.0,2.0,12.0,8.0,136.0,1,0.0
55,OK,2022-07-31,37.0,371.0,432.0,3.0,66.0,136.0,981.0,1,1.0
56,NJ,2022-07-31,5.0,1022.0,1114.0,5.0,89.0,134.0,2895.0,8,5.0
57,HI,2022-07-31,7.0,130.0,142.0,1.0,7.0,27.0,215.0,3,0.0
58,ND,2022-07-31,2.0,65.0,79.0,0.0,5.0,10.0,202.0,0,1.0
59,NH,2022-07-31,0.0,67.0,75.0,0.0,4.0,9.0,223.0,3,0.0
60,KY,2022-07-31,15.0,639.0,774.0,1.0,103.0,67.0,1270.0,8,3.0
61,AZ,2022-07-31,25.0,581.0,707.0,12.0,68.0,243.0,1631.0,1,3.0
62,IA,2022-07-31,11.0,245.0,263.0,3.0,30.0,77.0,559.0,0,18.0
63,WV,2022-07-31,7.0,385.0,399.0,4.0,52.0,120.0,632.0,0,0.0
64,ID,2022-07-31,9.0,177.0,196.0,0.0,23.0,17.0,253.0,1,1.0
65,OH,2022-07-31,63.0,1194.0,1482.0,15.0,146.0,501.0,3721.0,2,1.0
66,UT,2022-07-31,0.0,180.0,210.0,0.0,27.0,34.0,436.0,0,0.0
67,AR,2022-07-31,17.0,388.0,437.0,1.0,53.0,83.0,855.0,2,1.0
68,KS,2022-07-31,2.0,245.0,263.0,1.0,31.0,54.0,789.0,10,1.0
69,MD,2022-07-31,14.0,622.0,795.0,4.0,45.0,20.0,1265.0,3,2.0
70,ME,2022-07-31,4.0,135.0,139.0,1.0,14.0,8.0,328.0,1,0.0
71,CT,2022-07-31,12.0,335.0,395.0,0.0,30.0,75.0,907.0,0,0.0
72,VT,2022-07-31,4.0,28.0,33.0,0.0,6.0,4.0,100.0,3,0.0
73,AS,2022-07-31,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0,
74,MA,2022-07-31,6.0,538.0,622.0,5.0,47.0,166.0,1190.0,0,0.0
75,PA,2022-07-31,54.0,1296.0,1641.0,4.0,136.0,401.0,3646.0,32,8.0
76,OR,2022-07-31,12.0,413.0,493.0,1.0,56.0,21.0,693.0,2,2.0
77,DC,2022-07-31,15.0,131.0,180.0,5.0,9.0,77.0,325.0,0,0.0
78,NE,2022-07-31,8.0,188.0,214.0,0.0,22.0,142.0,482.0,13,3.0
79,MI,2022-07-31,31.0,857.0,980.0,4.0,101.0,169.0,2355.0,27,6.0
80,IN,2022-07-31,13.0,611.0,708.0,17.0,99.0,195.0,1993.0,12,0.0
81,TN,2022-07-31,23.0,843.0,895.0,5.0,121.0,180.0,2430.0,3,5.0
82,NC,2022-07-31,26.0,1350.0,1704.0,14.0,157.0,424.0,2152.0,20,18.0
83,MO,2022-07-31,48.0,834.0,986.0,8.0,129.0,233.0,1698.0,7,2.0
84,TX,2022-07-31,187.0,3335.0,3899.0,44.0,532.0,1079.0,5851.0,6,22.0
85,DE,2022-07-31,5.0,142.0,215.0,0.0,15.0,76.0,181.0,1,0.0
86,SC,2022-07-31,12.0,571.0,610.0,5.0,82.0,97.0,1282.0,21,2.0
87,VA,2022-07-31,19.0,754.0,859.0,5.0,96.0,177.0,1907.0,9,9.0
88,WA,2022-07-31,21.0,749.0,845.0,3.0,76.0,115.0,1146.0,0,5.0
89,PR,2022-07-31,20.0,230.0,357.0,1.0,26.0,91.0,602.0,0,0.0
90,RI,2022-07-31,0.0,57.0,67.0,0.0,4.0,86.0,144.0,1,0.0
91,CA,2022-07-31,142.0,4512.0,4957.0,34.0,506.0,949.0,6618.0,9,11.0
92,MS,2022-07-31,9.0,396.0,440.0,4.0,65.0,62.0,728.0,3,2.0
93,MT,2022-07-31,3.0,102.0,106.0,0.0,10.0,29.0,221.0,3,0.0
94,WI,2022-07-31,9.0,517.0,547.0,2.0,83.0,121.0,1232.0,18,1.0
95,NY,2022-07-31,94.0,2585.0,3030.0,14.0,243.0,518.0,4544.0,2,7.0
96,IL,2022-07-31,23.0,1223.0,1414.0,6.0,124.0,588.0,3126.0,5,5.0
97,NV,2022-07-31,9.0,378.0,408.0,6.0,55.0,118.0,778.0,0,0.0
98,CO,2022-07-31,23.0,242.0,312.0,5.0,45.0,122.0,1243.0,15,0.0
99,AL,2022-07-31,22.0,761.0,854.0,12.0,110.0,49.0,1526.0,0,2.0
100,VI,2022-07-31,0.0,8.0,8.0,0.0,0.0,6.0,20.0,0,
101,SD,2022-07-31,2.0,65.0,74.0,0.0,9.0,23.0,234.0,1,0.0
102,WY,2022-07-31,3.0,36.0,38.0,0.0,2.0,0.0,125.0,0,0.0
103,FL,2022-07-31,96.0,4121.0,4458.0,20.0,483.0,910.0,6463.0,7,23.0
104,LA,2022-07-31,18.0,606.0,517.0,6.0,84.0,111.0,1408.0,1,0.0
105,GA,2022-07-31,55.0,1407.0,1842.0,10.0,168.0,389.0,2602.0,26,4.0
106,NM,2022-07-31,7.0,185.0,208.0,0.0,29.0,49.0,378.0,4,0.0
107,MN,2022-07-31,22.0,449.0,507.0,6.0,33.0,186.0,803.0,4,1.0
108,KY,2022-07-30,13.0,618.0,745.0,1.0,80.0,67.0,1272.0,9,42.0
109,AK,2022-07-30,5.0,76.0,83.0,0.0,8.0,6.0,128.0,1,3.0
110,NV,2022-07-30,7.0,387.0,411.0,2.0,56.0,118.0,780.0,0,0.0
111,MS,2022-07-30,12.0,395.0,452.0,2.0,61.0,62.0,727.0,2,0.0
112,CO,2022-07-30,23.0,235.0,287.0,5.0,46.0,122.0,1243.0,15,1.0
113,MT,2022-07-30,3.0,100.0,103.0,1.0,11.0,29.0,222.0,3,1.0
114,NH,2022-07-30,1.0,72.0,79.0,0.0,4.0,9.0,221.0,3,1.0
115,DC,2022-07-30,15.0,125.0,182.0,7.0,7.0,77.0,337.0,0,0.0
116,SD,2022-07-30,1.0,69.0,77.0,0.0,11.0,23.0,239.0,1,0.0
117,NE,2022-07-30,9.0,197.0,214.0,0.0,23.0,142.0,483.0,11,0.0
118,CA,2022-07-30,146.0,4477.0,4922.0,36.0,504.0,957.0,6657.0,8,11.0
119,PR,2022-07-30,46.0,281.0,375.0,1.0,38.0,87.0,623.0,0,0.0
120,TN,2022-07-30,33.0,840.0,913.0,6.0,123.0,180.0,2451.0,3,2.0
121,SC,2022-07-30,12.0,575.0,609.0,6.0,76.0,97.0,1282.0,21,2.0
122,DE,2022-07-30,6.0,139.0,221.0,0.0,11.0,76.0,181.0,1,0.0
123,TX,2022-07-30,207.0,3340.0,3933.0,53.0,548.0,1109.0,6113.0,6,24.0
124,MI,2022-07-30,35.0,826.0,953.0,7.0,94.0,167.0,2368.0,27,4.0
125,NC,2022-07-30,22.0,1327.0,1683.0,14.0,169.0,425.0,2148.0,19,17.0
126,RI,2022-07-30,0.0,54.0,58.0,0.0,6.0,86.0,143.0,1,0.0
127,OR,2022-07-30,8.0,402.0,469.0,1.0,51.0,20.0,693.0,2,3.0
128,FL,2022-07-30,94.0,4081.0,4408.0,19.0,493.0,916.0,6486.0,7,24.0
129,IN,2022-07-30,9.0,647.0,760.0,17.0,98.0,210.0,1994.0,11,1.0
130,PA,2022-07-30,46.0,1270.0,1677.0,4.0,123.0,402.0,3682.0,31,20.0
131,ME,2022-07-30,4.0,136.0,141.0,1.0,16.0,8.0,328.0,1,0.0
132,CT,2022-07-30,10.0,341.0,394.0,0.0,28.0,74.0,905.0,0,1.0
133,AZ,2022-07-30,34.0,594.0,721.0,17.0,63.0,243.0,1645.0,2,0.0
134,MN,2022-07-30,21.0,440.0,500.0,5.0,31.0,186.0,827.0,4,1.0
135,WV,2022-07-30,7.0,390.0,404.0,3.0,57.0,121.0,638.0,0,0.0
136,HI,2022-07-30,6.0,131.0,141.0,1.0,8.0,27.0,216.0,3,0.0
137,ND,2022-07-30,1.0,59.0,70.0,0.0,6.0,10.0,205.0,0,0.0
138,OH,2022-07-30,63.0,1171.0,1438.0,14.0,132.0,501.0,3708.0,2,1.0
139,UT,2022-07-30,0.0,182.0,206.0,0.0,24.0,42.0,430.0,0,1.0
140,MA,2022-07-30,13.0,528.0,605.0,5.0,49.0,167.0,1208.0,0,0.0
141,WA,2022-07-30,19.0,735.0,835.0,3.0,73.0,119.0,1154.0,0,5.0
142,OK,2022-07-30,33.0,356.0,426.0,2.0,69.0,136.0,980.0,1,2.0
143,GA,2022-07-30,61.0,1309.0,1735.0,11.0,171.0,390.0,2512.0,24,4.0
144,MO,2022-07-30,42.0,837.0,1010.0,7.0,133.0,235.0,1705.0,7,31.0
145,IL,2022-07-30,30.0,1231.0,1414.0,4.0,127.0,588.0,3125.0,5,3.0
146,WY,2022-07-30,3.0,35.0,38.0,0.0,1.0,0.0,125.0,0,0.0
147,IA,2022-07-30,18.0,229.0,253.0,3.0,23.0,77.0,552.0,0,2.0
148,AL,2022-07-30,24.0,738.0,829.0,3.0,109.0,49.0,1537.0,0,1.0
149,NM,2022-07-30,8.0,195.0,224.0,0.0,25.0,49.0,382.0,4,2.0
150,LA,2022-07-30,20.0,622.0,551.0,5.0,84.0,115.0,1400.0,1,0.0
151,AS,2022-07-30,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0,
152,VT,2022-07-30,4.0,32.0,35.0,0.0,5.0,4.0,100.0,3,1.0
153,MD,2022-07-30,13.0,600.0,769.0,4.0,43.0,19.0,1244.0,3,0.0
154,WI,2022-07-30,8.0,461.0,492.0,2.0,72.0,103.0,1149.0,18,0.0
155,ID,2022-07-30,7.0,176.0,192.0,0.0,19.0,17.0,255.0,1,0.0
156,VI,2022-07-30,0.0,9.0,9.0,0.0,1.0,6.0,20.0,0,
157,VA,2022-07-30,21.0,733.0,835.0,5.0,87.0,171.0,1906.0,9,5.0
158,KS,2022-07-30,1.0,240.0,262.0,0.0,32.0,55.0,797.0,10,1.0
159,NY,2022-07-30,86.0,2569.0,2992.0,14.0,245.0,519.0,4555.0,2,10.0
160,NJ,2022-07-30,5.0,1031.0,1146.0,4.0,89.0,134.0,2895.0,7,6.0
161,AR,2022-07-30,16.0,389.0,469.0,1.0,51.0,83.0,863.0,1,2.0
162,TN,2022-07-29,29.0,868.0,949.0,8.0,129.0,180.0,2429.0,3,2.0
163,NV,2022-07-29,6.0,393.0,419.0,3.0,73.0,118.0,780.0,0,0.0
164,DC,2022-07-29,16.0,135.0,193.0,6.0,12.0,77.0,330.0,0,2.0
165,RI,2022-07-29,1.0,54.0,59.0,0.0,5.0,81.0,147.0,1,0.0
166,KS,2022-07-29,1.0,246.0,272.0,0.0,31.0,51.0,808.0,10,1.0
167,OH,2022-07-29,59.0,1183.0,1475.0,11.0,131.0,504.0,3698.0,2,2.0
168,VT,2022-07-29,4.0,36.0,39.0,0.0,5.0,4.0,99.0,5,0.0
169,PR,2022-07-29,48.0,278.0,391.0,0.0,37.0,91.0,610.0,0,0.0
170,NC,2022-07-29,25.0,1302.0,1661.0,16.0,170.0,424.0,2153.0,19,10.0
171,AL,2022-07-29,25.0,789.0,885.0,1.0,119.0,49.0,1549.0,0,5.0
172,MA,2022-07-29,12.0,544.0,631.0,5.0,42.0,169.0,1209.0,0,0.0
173,NY,2022-07-29,86.0,2661.0,3127.0,17.0,259.0,510.0,4546.0,2,10.0
174,CT,2022-07-29,10.0,334.0,387.0,1.0,27.0,75.0,907.0,0,0.0
175,AK,2022-07-29,3.0,70.0,75.0,0.0,12.0,8.0,126.0,2,0.0
176,CO,2022-07-29,24.0,266.0,319.0,7.0,44.0,120.0,1227.0,15,3.0
177,FL,2022-07-29,84.0,4144.0,4492.0,31.0,479.0,911.0,6500.0,7,21.0
178,ID,2022-07-29,8.0,174.0,186.0,0.0,22.0,17.0,256.0,1,1.0
179,NM,2022-07-29,4.0,200.0,217.0,0.0,26.0,49.0,376.0,2,2.0
180,WI,2022-07-29,9.0,520.0,561.0,1.0,84.0,120.0,1247.0,22,0.0
181,WY,2022-07-29,1.0,30.0,34.0,0.0,3.0,0.0,118.0,0,0.0
182,MI,2022-07-29,32.0,858.0,987.0,5.0,93.0,169.0,2370.0,28,5.0
183,NH,2022-07-29,0.0,68.0,76.0,0.0,6.0,9.0,227.0,2,0.0
184,SC,2022-07-29,15.0,580.0,624.0,7.0,74.0,97.0,1277.0,21,5.0
185,PA,2022-07-29,50.0,1271.0,1667.0,3.0,135.0,407.0,3688.0,34,16.0
186,MN,2022-07-29,23.0,437.0,519.0,6.0,33.0,190.0,829.0,4,0.0
187,OR,2022-07-29,8.0,408.0,484.0,1.0,45.0,21.0,701.0,2,3.0
188,SD,2022-07-29,1.0,76.0,83.0,1.0,9.0,23.0,240.0,1,0.0
189,IA,2022-07-29,12.0,230.0,244.0,1.0,30.0,77.0,552.0,0,1.0
190,DE,2022-07-29,9.0,140.0,230.0,1.0,15.0,76.0,181.0,1,0.0
191,MT,2022-07-29,3.0,104.0,111.0,0.0,9.0,29.0,221.0,3,1.0
192,AZ,2022-07-29,33.0,609.0,761.0,16.0,63.0,244.0,1670.0,2,1.0
193,WA,2022-07-29,23.0,741.0,842.0,4.0,72.0,123.0,1148.0,0,8.0
194,NE,2022-07-29,6.0,203.0,231.0,1.0,24.0,142.0,483.0,12,1.0
195,NJ,2022-07-29,5.0,1073.0,1159.0,8.0,97.0,134.0,2898.0,7,3.0
196,TX,2022-07-29,196.0,3497.0,4046.0,46.0,561.0,1081.0,6052.0,6,31.0
197,IN,2022-07-29,13.0,678.0,769.0,2.0,102.0,222.0,2077.0,11,4.0
198,MD,2022-07-29,14.0,628.0,790.0,4.0,54.0,19.0,1260.0,3,1.0
199,AS,2022-07-29,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0,
200,WV,2022-07-29,6.0,378.0,385.0,3.0,52.0,119.0,603.0,0,0.0
201,KY,2022-07-29,11.0,647.0,785.0,1.0,94.0,71.0,1292.0,11,1.0
202,ND,2022-07-29,0.0,60.0,67.0,3.0,7.0,10.0,207.0,0,3.0
203,ME,2022-07-29,4.0,130.0,138.0,0.0,12.0,12.0,325.0,1,1.0
204,MO,2022-07-29,46.0,872.0,1066.0,7.0,131.0,240.0,1724.0,8,5.0
205,MS,2022-07-29,10.0,412.0,462.0,1.0,57.0,62.0,737.0,4,1.0
206,HI,2022-07-29,8.0,141.0,154.0,1.0,10.0,27.0,213.0,3,1.0
207,VA,2022-07-29,28.0,770.0,890.0,6.0,97.0,179.0,1915.0,10,5.0
208,GA,2022-07-29,60.0,1447.0,1913.0,15.0,161.0,398.0,2607.0,28,6.0
209,UT,2022-07-29,0.0,210.0,242.0,0.0,27.0,37.0,440.0,0,0.0
210,OK,2022-07-29,35.0,369.0,448.0,2.0,72.0,135.0,980.0,1,1.0
211,LA,2022-07-29,21.0,621.0,548.0,6.0,93.0,112.0,1434.0,1,2.0
212,IL,2022-07-29,28.0,1300.0,1508.0,7.0,128.0,588.0,3130.0,6,2.0
213,AR,2022-07-29,15.0,405.0,486.0,1.0,64.0,85.0,872.0,1,3.0
214,VI,2022-07-29,0.0,13.0,13.0,1.0,1.0,6.0,20.0,0,
215,CA,2022-07-29,164.0,4559.0,5068.0,36.0,537.0,971.0,6683.0,8,11.0
216,MT,2022-07-28,2.0,105.0,110.0,0.0,7.0,29.0,217.0,4,2.0
217,AK,2022-07-28,2.0,73.0,76.0,0.0,10.0,7.0,141.0,1,2.0
218,NC,2022-07-28,30.0,1285.0,1632.0,14.0,181.0,411.0,2164.0,19,16.0
219,KS,2022-07-28,1.0,254.0,278.0,0.0,30.0,51.0,802.0,11,0.0
220,TX,2022-07-28,192.0,3507.0,4046.0,41.0,589.0,1068.0,6088.0,7,22.0
221,FL,2022-07-28,85.0,4190.0,4569.0,26.0,463.0,914.0,6499.0,7,22.0
222,MI,2022-07-28,35.0,866.0,993.0,7.0,80.0,193.0,2405.0,28,3.0
223,NV,2022-07-28,6.0,412.0,448.0,2.0,66.0,118.0,777.0,0,0.0
224,LA,2022-07-28,17.0,645.0,564.0,5.0,89.0,108.0,1439.0,1,1.0
225,MA,2022-07-28,13.0,582.0,650.0,3.0,49.0,171.0,1209.0,0,0.0
226,SD,2022-07-28,3.0,80.0,93.0,0.0,8.0,23.0,241.0,1,0.0
227,SC,2022-07-28,18.0,575.0,619.0,9.0,78.0,97.0,1280.0,21,7.0
228,MD,2022-07-28,13.0,614.0,799.0,3.0,51.0,19.0,1264.0,3,2.0
229,UT,2022-07-28,0.0,215.0,239.0,0.0,33.0,34.0,443.0,0,0.0
230,VT,2022-07-28,2.0,30.0,30.0,0.0,4.0,4.0,97.0,4,0.0
231,CO,2022-07-28,24.0,282.0,345.0,5.0,49.0,120.0,1232.0,15,1.0
232,OH,2022-07-28,48.0,1178.0,1453.0,12.0,144.0,511.0,3708.0,3,1.0
233,WY,2022-07-28,1.0,31.0,32.0,0.0,3.0,0.0,116.0,0,0.0
234,AR,2022-07-28,19.0,404.0,506.0,2.0,67.0,82.0,864.0,1,1.0
235,MO,2022-07-28,44.0,895.0,1096.0,7.0,138.0,238.0,1700.0,8,7.0
236,NH,2022-07-28,0.0,70.0,79.0,0.0,6.0,9.0,222.0,2,0.0
237,ME,2022-07-28,2.0,133.0,138.0,0.0,15.0,12.0,329.0,1,1.0
238,MS,2022-07-28,14.0,430.0,484.0,1.0,60.0,62.0,736.0,2,2.0
239,PR,2022-07-28,39.0,283.0,357.0,0.0,36.0,86.0,639.0,0,0.0
240,WA,2022-07-28,19.0,772.0,855.0,3.0,82.0,123.0,1187.0,0,3.0
241,HI,2022-07-28,7.0,143.0,159.0,2.0,13.0,27.0,212.0,3,1.0
242,NJ,2022-07-28,3.0,1100.0,1175.0,7.0,106.0,134.0,2895.0,7,13.0
243,DE,2022-07-28,9.0,144.0,231.0,1.0,16.0,76.0,181.0,0,1.0
244,OR,2022-07-28,7.0,424.0,501.0,1.0,39.0,21.0,702.0,2,4.0
245,CA,2022-07-28,151.0,4648.0,5086.0,39.0,529.0,974.0,6723.0,7,13.0
246,NE,2022-07-28,5.0,206.0,220.0,0.0,25.0,142.0,482.0,15,1.0
247,TN,2022-07-28,32.0,864.0,963.0,7.0,141.0,180.0,2429.0,3,3.0
248,DC,2022-07-28,14.0,139.0,201.0,4.0,13.0,77.0,327.0,0,0.0
249,PA,2022-07-28,54.0,1316.0,1719.0,3.0,136.0,406.0,3685.0,35,19.0
250,MN,2022-07-28,26.0,419.0,485.0,5.0,27.0,190.0,842.0,4,0.0
251,IA,2022-07-28,14.0,236.0,250.0,1.0,22.0,74.0,559.0,0,3.0
252,NY,2022-07-28,87.0,2733.0,3199.0,16.0,259.0,511.0,4551.0,2,8.0
253,VA,2022-07-28,33.0,759.0,862.0,6.0,98.0,179.0,1907.0,11,13.0
254,AS,2022-07-28,1.0,4.0,5.0,0.0,0.0,0.0,7.0,0,
255,RI,2022-07-28,4.0,51.0,62.0,0.0,6.0,76.0,143.0,1,0.0
256,VI,2022-07-28,0.0,12.0,12.0,0.0,1.0,6.0,20.0,0,
257,ID,2022-07-28,7.0,178.0,190.0,0.0,17.0,16.0,253.0,1,0.0
258,IN,2022-07-28,16.0,691.0,809.0,3.0,105.0,223.0,2079.0,11,0.0
259,NM,2022-07-28,7.0,212.0,225.0,1.0,29.0,49.0,396.0,2,1.0
260,ND,2022-07-28,0.0,59.0,74.0,0.0,7.0,10.0,208.0,0,1.0
261,AL,2022-07-28,23.0,807.0,904.0,1.0,123.0,52.0,1544.0,0,1.0
262,OK,2022-07-28,36.0,387.0,464.0,2.0,84.0,135.0,986.0,1,0.0
263,AZ,2022-07-28,29.0,638.0,797.0,14.0,70.0,242.0,1664.0,2,2.0
264,WV,2022-07-28,6.0,385.0,384.0,3.0,54.0,115.0,600.0,0,0.0
265,WI,2022-07-28,9.0,527.0,558.0,0.0,78.0,120.0,1255.0,18,0.0
266,KY,2022-07-28,10.0,652.0,803.0,5.0,102.0,70.0,1293.0,10,1.0
267,IL,2022-07-28,25.0,1299.0,1508.0,5.0,131.0,588.0,3124.0,5,8.0
268,GA,2022-07-28,59.0,1494.0,1966.0,14.0,161.0,396.0,2603.0,29,5.0
269,CT,2022-07-28,10.0,330.0,378.0,1.0,26.0,75.0,907.0,0,1.0
270,IL,2022-07-27,27.0,1340.0,1537.0,4.0,137.0,580.0,3129.0,3,3.0
271,KY,2022-07-27,10.0,663.0,758.0,4.0,109.0,71.0,1307.0,11,3.0
272,WV,2022-07-27,6.0,369.0,393.0,3.0,44.0,119.0,599.0,0,0.0
273,VA,2022-07-27,34.0,784.0,897.0,5.0,105.0,200.0,1911.0,9,8.0
274,NV,2022-07-27,5.0,424.0,454.0,1.0,68.0,118.0,778.0,0,0.0
275,AS,2022-07-27,1.0,5.0,6.0,0.0,0.0,0.0,7.0,0,
276,MD,2022-07-27,17.0,644.0,825.0,5.0,57.0,19.0,1256.0,4,1.0
277,VI,2022-07-27,0.0,7.0,7.0,0.0,1.0,6.0,20.0,0,
278,OK,2022-07-27,39.0,376.0,465.0,1.0,86.0,135.0,988.0,1,3.0
279,PR,2022-07-27,30.0,278.0,350.0,0.0,35.0,91.0,617.0,0,1.0
280,NM,2022-07-27,5.0,214.0,258.0,0.0,29.0,49.0,396.0,3,0.0
281,MA,2022-07-27,7.0,571.0,642.0,3.0,54.0,170.0,1203.0,0,0.0
282,IN,2022-07-27,21.0,684.0,792.0,5.0,116.0,224.0,2069.0,11,2.0
283,RI,2022-07-27,4.0,54.0,60.0,0.0,3.0,81.0,147.0,1,0.0
284,AL,2022-07-27,29.0,802.0,903.0,3.0,132.0,53.0,1541.0,0,2.0
285,WY,2022-07-27,0.0,30.0,34.0,0.0,1.0,0.0,111.0,0,0.0
286,NH,2022-07-27,0.0,69.0,73.0,0.0,7.0,9.0,216.0,2,0.0
287,DC,2022-07-27,8.0,151.0,207.0,2.0,13.0,77.0,325.0,0,1.0
288,NY,2022-07-27,87.0,2760.0,3256.0,15.0,263.0,509.0,4550.0,2,11.0
289,AR,2022-07-27,19.0,413.0,509.0,2.0,64.0,82.0,867.0,1,1.0
290,AZ,2022-07-27,26.0,630.0,781.0,11.0,62.0,243.0,1664.0,2,2.0
291,TN,2022-07-27,33.0,866.0,958.0,8.0,139.0,180.0,2426.0,3,4.0
292,TX,2022-07-27,176.0,3490.0,3970.0,33.0,573.0,1069.0,6069.0,7,30.0
293,MS,2022-07-27,14.0,409.0,469.0,1.0,62.0,62.0,738.0,2,3.0
294,DE,2022-07-27,9.0,153.0,242.0,1.0,15.0,76.0,181.0,1,0.0
295,UT,2022-07-27,0.0,231.0,264.0,0.0,38.0,37.0,445.0,0,1.0
